timestamp,cpu_percent,mem_used_gb,mem_available_gb,disk_read_mb,disk_write_mb,gpu_util_percent,gpu_mem_used_gb,gpu_mem_total_gb
2026-05-09T00:57:39.224572,1.7,11.82,18.68,245813.84,508254.15,52,2.1,8.0
2026-05-09T00:58:40.226574,1.8,11.82,18.67,245813.87,508271.03,26,2.1,8.0
2026-05-09T00:59:41.228843,1.6,11.86,18.64,245813.87,508291.14,56,2.1,8.0
2026-05-09T01:00:42.230827,1.4,11.85,18.64,245813.87,508309.65,27,2.1,8.0
2026-05-09T01:01:43.232616,1.6,11.86,18.64,245813.87,508321.96,26,2.1,8.0
2026-05-09T01:02:44.234338,1.7,11.86,18.63,245813.88,508340.44,26,2.1,8.0
2026-05-09T01:03:45.236473,1.7,11.87,18.63,245813.9,508358.33,27,2.1,8.0
2026-05-09T01:04:46.238272,1.7,11.87,18.62,245813.96,508376.46,26,2.1,8.0
2026-05-09T01:05:47.240569,1.8,11.88,18.62,245813.96,508394.66,26,2.09,8.0
2026-05-09T01:06:48.242510,2.9,11.86,18.63,245813.96,508405.79,57,2.1,8.0
2026-05-09T01:07:49.244818,2.0,11.9,18.59,245813.98,508422.31,27,2.1,8.0
2026-05-09T01:08:50.246830,1.7,11.94,18.55,245813.98,508443.22,26,2.1,8.0
2026-05-09T01:09:51.248552,1.4,11.92,18.58,245813.98,508461.3,33,2.1,8.0
2026-05-09T01:10:52.250514,1.8,11.94,18.56,245814.03,508481.38,28,2.1,8.0
2026-05-09T01:11:53.252437,1.8,11.94,18.56,245814.03,508492.92,26,2.1,8.0
2026-05-09T01:12:54.254736,1.6,11.99,18.51,245814.03,508514.21,27,2.1,8.0
2026-05-09T01:13:55.256624,1.8,11.97,18.53,245814.03,508532.12,59,2.1,8.0
2026-05-09T01:14:56.258364,1.8,11.99,18.51,245814.03,508550.33,35,2.1,8.0
2026-05-09T01:15:57.260609,1.6,11.97,18.52,245814.04,508565.45,26,2.1,8.0
2026-05-09T01:16:58.263195,1.6,11.98,18.51,245814.07,508582.3,27,2.1,8.0
2026-05-09T01:17:59.265466,1.5,11.97,18.52,245814.08,508603.32,3,2.1,8.0
2026-05-09T01:19:00.267468,1.6,12.0,18.49,245814.08,508622.73,4,2.1,8.0
2026-05-09T01:20:01.269343,1.6,11.91,18.58,245814.09,508640.17,15,2.1,8.0
2026-05-09T01:21:02.271423,1.4,11.92,18.57,245814.13,508655.94,10,2.1,8.0
2026-05-09T01:22:03.273220,1.8,11.92,18.57,245814.15,508674.19,7,2.1,8.0
2026-05-09T01:23:04.275040,1.7,12.01,18.49,245814.15,508720.5,49,2.1,8.0
2026-05-09T01:24:05.276804,1.4,11.9,18.59,245814.16,508740.59,19,2.09,8.0
2026-05-09T01:25:06.278644,1.7,11.9,18.59,245814.17,508751.75,16,2.09,8.0
2026-05-09T01:26:07.280995,1.7,11.92,18.58,245814.18,508773.89,25,2.09,8.0
2026-05-09T01:27:08.282710,1.4,11.91,18.58,245814.18,508790.25,27,2.09,8.0
2026-05-09T01:28:09.284966,1.7,11.95,18.55,245814.21,508811.65,25,2.09,8.0
2026-05-09T01:29:10.286729,1.8,11.94,18.55,245814.21,508829.67,54,2.09,8.0
2026-05-09T01:30:11.288429,1.9,11.95,18.55,245814.21,508840.71,27,2.1,8.0
2026-05-09T01:31:12.290360,2.1,11.96,18.54,245814.23,508862.09,59,2.1,8.0
2026-05-09T01:32:13.292139,1.7,11.95,18.54,245814.24,508880.36,26,2.09,8.0
2026-05-09T01:33:14.293931,1.7,11.96,18.54,245814.24,508899.39,26,2.09,8.0
2026-05-09T01:34:15.295677,1.7,11.96,18.53,245814.25,508919.99,51,2.09,8.0
2026-05-09T01:35:16.298130,1.6,11.98,18.52,245814.26,508931.6,31,2.09,8.0
2026-05-09T01:36:17.300475,1.7,11.91,18.58,245814.3,508949.67,27,2.09,8.0
2026-05-09T01:37:18.302356,1.9,11.91,18.59,245814.3,508968.25,27,2.09,8.0
2026-05-09T01:38:19.304102,1.5,11.94,18.55,245814.46,508989.89,60,2.09,8.0
2026-05-09T01:39:20.305845,1.8,11.9,18.6,245814.64,509014.08,27,2.09,8.0
2026-05-09T01:40:21.308087,1.8,11.89,18.61,245814.64,509033.92,33,2.09,8.0
2026-05-09T01:41:22.310016,1.6,11.92,18.58,245814.66,509047.12,27,2.09,8.0
2026-05-09T01:42:23.311755,1.6,11.89,18.61,245814.66,509066.39,32,2.09,8.0
2026-05-09T01:43:24.313902,1.7,11.91,18.59,245814.76,509085.73,26,2.09,8.0
2026-05-09T01:44:25.315823,1.5,11.92,18.58,245814.76,509102.82,59,2.09,8.0
2026-05-09T01:45:26.317806,2.1,11.91,18.59,245814.78,509114.09,27,2.09,8.0
2026-05-09T01:46:27.320013,1.8,11.91,18.59,245814.78,509137.0,32,2.09,8.0
2026-05-09T01:47:28.322329,1.8,11.94,18.55,245814.78,509159.44,25,2.09,8.0
2026-05-09T01:48:29.324026,1.8,11.93,18.56,245814.78,509177.91,26,2.09,8.0
2026-05-09T01:49:30.325791,1.6,11.94,18.56,245814.78,509188.92,27,2.09,8.0
2026-05-09T01:50:31.327510,1.6,11.94,18.56,245814.78,509207.16,27,2.09,8.0
2026-05-09T01:51:32.329910,1.7,11.94,18.55,245814.78,509229.45,26,2.09,8.0
2026-05-09T01:52:33.331788,1.8,11.94,18.55,245814.78,509249.82,27,2.09,8.0
2026-05-09T01:53:34.333736,1.8,11.99,18.51,245815.93,509268.18,6,2.09,8.0
2026-05-09T01:54:35.335985,2.0,11.94,18.55,245816.09,509279.68,24,2.09,8.0
2026-05-09T01:55:36.337835,1.7,11.93,18.56,245816.09,509298.0,18,2.09,8.0
2026-05-09T01:56:37.340111,1.6,11.97,18.52,245816.09,509319.46,16,2.1,8.0
2026-05-09T01:57:38.342133,1.9,11.87,18.63,245816.09,509340.23,26,2.09,8.0
2026-05-09T01:58:39.344506,1.8,11.87,18.63,245816.09,509359.49,26,2.09,8.0
2026-05-09T01:59:40.346281,1.9,11.87,18.62,245816.09,509369.12,54,2.09,8.0
2026-05-09T02:00:41.348296,2.5,11.9,18.6,245816.09,509389.32,27,2.09,8.0
2026-05-09T02:01:42.350044,1.6,11.9,18.59,245816.09,509408.23,57,2.09,8.0
